#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=abr mbtree=1 bitrate=18407 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=22088 vbv_bufsize=36814 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:14.64 aq:15.05 tex:1858438 mv:74634 misc:176 imb:1620 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:12.55 aq:13.16 tex:2120883 mv:6315 misc:194 imb:1454 pmb:166 smb:0 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:15.93 aq:16.69 tex:1653617 mv:23084 misc:315 imb:818 pmb:778 smb:24 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:16.06 aq:17.42 tex:1400750 mv:21593 misc:273 imb:560 pmb:1038 smb:22 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:15.93 aq:17.25 tex:1438273 mv:21509 misc:338 imb:595 pmb:992 smb:33 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:12.85 aq:13.68 tex:2094541 mv:7714 misc:225 imb:1341 pmb:279 smb:0 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:14.34 aq:15.36 tex:1737061 mv:20892 misc:375 imb:758 pmb:836 smb:26 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:17.73 aq:19.19 tex:1244872 mv:21607 misc:361 imb:623 pmb:960 smb:37 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:14.46 aq:16.40 tex:1585914 mv:19571 misc:419 imb:879 pmb:709 smb:32 d:- ref:0 ;
in:11 out:9 type:P dur:2 cpbdur:2 q:13.22 aq:13.23 tex:2174459 mv:9350 misc:231 imb:1151 pmb:469 smb:0 d:- ref:0 ;
in:9 out:10 type:B dur:2 cpbdur:2 q:13.27 aq:14.95 tex:1638312 mv:15047 misc:433 imb:822 pmb:765 smb:33 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:13.28 aq:15.29 tex:1564105 mv:17481 misc:510 imb:831 pmb:728 smb:61 d:- ref:0 ;
in:15 out:12 type:P dur:2 cpbdur:2 q:20.61 aq:20.65 tex:1315471 mv:8644 misc:229 imb:917 pmb:701 smb:2 d:- ref:0 ;
in:13 out:13 type:B dur:2 cpbdur:2 q:20.54 aq:21.77 tex:976317 mv:15239 misc:388 imb:822 pmb:760 smb:38 d:- ref:0 ;
in:12 out:14 type:b dur:2 cpbdur:2 q:20.56 aq:22.79 tex:834981 mv:14735 misc:580 imb:829 pmb:702 smb:89 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:20.58 aq:22.67 tex:796133 mv:13326 misc:789 imb:820 pmb:660 smb:140 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:25.49 aq:25.27 tex:851866 mv:8277 misc:169 imb:931 pmb:689 smb:0 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:25.42 aq:26.32 tex:593837 mv:12312 misc:571 imb:866 pmb:677 smb:77 d:- ref:0 ;
in:16 out:18 type:b dur:2 cpbdur:2 q:25.38 aq:26.72 tex:509663 mv:11172 misc:1061 imb:827 pmb:500 smb:293 d:- ref:0 ;
in:18 out:19 type:b dur:2 cpbdur:2 q:25.46 aq:26.68 tex:505295 mv:10977 misc:1064 imb:844 pmb:457 smb:319 d:- ref:0 ;
in:23 out:20 type:P dur:2 cpbdur:2 q:25.93 aq:25.76 tex:800720 mv:7947 misc:157 imb:922 pmb:698 smb:0 d:- ref:0 ;
in:21 out:21 type:B dur:2 cpbdur:2 q:25.93 aq:27.00 tex:542096 mv:13208 misc:416 imb:864 pmb:719 smb:37 d:- ref:0 ;
in:20 out:22 type:b dur:2 cpbdur:2 q:25.93 aq:27.40 tex:458492 mv:11177 misc:1051 imb:881 pmb:454 smb:285 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:25.93 aq:27.61 tex:463211 mv:11547 misc:962 imb:866 pmb:536 smb:218 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:26.20 aq:26.01 tex:745316 mv:7528 misc:156 imb:912 pmb:708 smb:0 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:26.19 aq:27.13 tex:520490 mv:11530 misc:644 imb:870 pmb:634 smb:116 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:26.19 aq:27.41 tex:435711 mv:10019 misc:1182 imb:862 pmb:369 smb:389 d:- ref:0 ;
in:26 out:27 type:b dur:2 cpbdur:2 q:26.20 aq:27.51 tex:434778 mv:10176 misc:1086 imb:874 pmb:410 smb:336 d:- ref:0 ;
in:31 out:28 type:P dur:2 cpbdur:2 q:26.61 aq:26.44 tex:690906 mv:7438 misc:160 imb:920 pmb:700 smb:0 d:- ref:0 ;
in:29 out:29 type:B dur:2 cpbdur:2 q:26.61 aq:27.38 tex:492276 mv:11542 misc:766 imb:880 pmb:594 smb:146 d:- ref:0 ;
in:28 out:30 type:b dur:2 cpbdur:2 q:26.60 aq:27.43 tex:424146 mv:10085 misc:1153 imb:874 pmb:350 smb:396 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:26.61 aq:27.58 tex:423991 mv:10072 misc:1161 imb:859 pmb:371 smb:390 d:- ref:0 ;
in:35 out:32 type:P dur:2 cpbdur:2 q:26.84 aq:27.01 tex:605546 mv:7515 misc:235 imb:931 pmb:674 smb:15 d:- ref:0 ;
